Date,Open,High,Low,Close,Adj Close,Volume
2015-10-16,79.650002,79.650002,79.650002,79.650002,55.310509,0
2015-10-19,79.769997,79.769997,79.769997,79.769997,55.393833,0
2015-10-20,79.669998,79.669998,79.669998,79.669998,55.324390,0
2015-10-21,79.099998,79.099998,79.099998,79.099998,54.928570,0
2015-10-22,79.519997,79.519997,79.519997,79.519997,55.220230,0
2015-10-23,80.180000,80.180000,80.180000,80.180000,55.678543,0
2015-10-26,80.199997,80.199997,80.199997,80.199997,55.692425,0
2015-10-27,80.120003,80.120003,80.120003,80.120003,55.636875,0
2015-10-28,81.050003,81.050003,81.050003,81.050003,56.282688,0
2015-10-29,81.129997,81.129997,81.129997,81.129997,56.338242,0
2015-10-30,81.120003,81.120003,81.120003,81.120003,56.331299,0
2015-11-02,82.010002,82.010002,82.010002,82.010002,56.949333,0
2015-11-03,81.669998,81.669998,81.669998,81.669998,56.713230,0
2015-11-04,81.739998,81.739998,81.739998,81.739998,56.761841,0
2015-11-05,81.680000,81.680000,81.680000,81.680000,56.720181,0
2015-11-06,81.739998,81.739998,81.739998,81.739998,56.761841,0
2015-11-09,81.739998,81.739998,81.739998,81.739998,56.761841,0
2015-11-10,81.230003,81.230003,81.230003,81.230003,56.407684,0
2015-11-11,80.900002,80.900002,80.900002,80.900002,56.178520,0
2015-11-12,79.839996,79.839996,79.839996,79.839996,55.442432,0
2015-11-13,79.300003,79.300003,79.300003,79.300003,55.067459,0
2015-11-16,80.160004,80.160004,80.160004,80.160004,55.664654,0
2015-11-17,80.230003,80.230003,80.230003,80.230003,55.713268,0
2015-11-18,81.519997,81.519997,81.519997,81.519997,56.609066,0
2015-11-19,81.519997,81.519997,81.519997,81.519997,56.609066,0
2015-11-20,81.760002,81.760002,81.760002,81.760002,56.775723,0
2015-11-23,81.900002,81.900002,81.900002,81.900002,56.872944,0
2015-11-24,82.080002,82.080002,82.080002,82.080002,56.997944,0
2015-11-25,82.279999,82.279999,82.279999,82.279999,57.136822,0
2015-11-27,82.459999,82.459999,82.459999,82.459999,57.261822,0
2015-11-30,82.010002,82.010002,82.010002,82.010002,56.949333,0
2015-12-01,82.500000,82.500000,82.500000,82.500000,57.289597,0
2015-12-02,81.839996,81.839996,81.839996,81.839996,56.831276,0
2015-12-03,80.610001,80.610001,80.610001,80.610001,55.977146,0
2015-12-04,81.790001,81.790001,81.790001,81.790001,56.796555,0
2015-12-07,81.070000,81.070000,81.070000,81.070000,56.296577,0
2015-12-08,80.910004,80.910004,80.910004,80.910004,56.185474,0
2015-12-09,80.070000,80.070000,80.070000,80.070000,55.602154,0
2015-12-10,80.489998,80.489998,80.489998,80.489998,55.893814,0
2015-12-11,79.220001,79.220001,79.220001,79.220001,55.011902,0
2015-12-14,72.269997,72.269997,72.269997,72.269997,55.027122,0
2015-12-15,73.010002,73.010002,73.010002,73.010002,55.590576,0
2015-12-16,73.820000,73.820000,73.820000,73.820000,56.207317,0
2015-12-17,72.790001,72.790001,72.790001,72.790001,55.423065,0
2015-12-18,71.820000,71.820000,71.820000,71.820000,54.684494,0
2015-12-21,72.250000,72.250000,72.250000,72.250000,55.011894,0
2015-12-22,72.709999,72.709999,72.709999,72.709999,55.362152,0
2015-12-23,73.570000,73.570000,73.570000,73.570000,56.016964,0
2015-12-24,73.559998,73.559998,73.559998,73.559998,56.009350,0
2015-12-28,73.540001,73.540001,73.540001,73.540001,55.994125,0
2015-12-29,74.300003,74.300003,74.300003,74.300003,56.572792,0
2015-12-30,73.849998,73.849998,73.849998,73.849998,56.230156,0
2015-12-31,73.320000,73.320000,73.320000,73.320000,55.826611,0
2016-01-04,72.050003,72.050003,72.050003,72.050003,54.859615,0
2016-01-05,72.239998,72.239998,72.239998,72.239998,55.004280,0
2016-01-06,71.099998,71.099998,71.099998,71.099998,54.136276,0
2016-01-07,69.540001,69.540001,69.540001,69.540001,52.948479,0
2016-01-08,68.769997,68.769997,68.769997,68.769997,52.362186,0
2016-01-11,68.379997,68.379997,68.379997,68.379997,52.065239,0
2016-01-12,68.839996,68.839996,68.839996,68.839996,52.415489,0
2016-01-13,66.889999,66.889999,66.889999,66.889999,50.930740,0
2016-01-14,67.449997,67.449997,67.449997,67.449997,51.357128,0
2016-01-15,66.320000,66.320000,66.320000,66.320000,50.496738,0
2016-01-19,65.970001,65.970001,65.970001,65.970001,50.230244,0
2016-01-20,65.760002,65.760002,65.760002,65.760002,50.070351,0
2016-01-21,65.440002,65.440002,65.440002,65.440002,49.826702,0
2016-01-22,66.800003,66.800003,66.800003,66.800003,50.862213,0
2016-01-25,65.849998,65.849998,65.849998,65.849998,50.138870,0
2016-01-26,66.809998,66.809998,66.809998,66.809998,50.869827,0
2016-01-27,65.879997,65.879997,65.879997,65.879997,50.161716,0
2016-01-28,65.389999,65.389999,65.389999,65.389999,49.788628,0
2016-01-29,67.300003,67.300003,67.300003,67.300003,51.242920,0
2016-02-01,67.440002,67.440002,67.440002,67.440002,51.349514,0
2016-02-02,65.900002,65.900002,65.900002,65.900002,50.176945,0
2016-02-03,66.059998,66.059998,66.059998,66.059998,50.298771,0
2016-02-04,66.400002,66.400002,66.400002,66.400002,50.557652,0
2016-02-05,64.620003,64.620003,64.620003,64.620003,49.202339,0
2016-02-08,62.930000,62.930000,62.930000,62.930000,47.915558,0
2016-02-09,63.169998,63.169998,63.169998,63.169998,48.098293,0
2016-02-10,63.540001,63.540001,63.540001,63.540001,48.380016,0
2016-02-11,63.160000,63.160000,63.160000,63.160000,48.090683,0
2016-02-12,64.389999,64.389999,64.389999,64.389999,49.027214,0
2016-02-16,65.809998,65.809998,65.809998,65.809998,50.108418,0
2016-02-17,67.099998,67.099998,67.099998,67.099998,51.090633,0
2016-02-18,66.639999,66.639999,66.639999,66.639999,50.740387,0
2016-02-19,66.860001,66.860001,66.860001,66.860001,50.907898,0
2016-02-22,67.730003,67.730003,67.730003,67.730003,51.570332,0
2016-02-23,67.250000,67.250000,67.250000,67.250000,51.204845,0
